Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,181.6354,-75.9968,-90,top
C2,0.1uF,C_0402_1005Metric,180.4416,-75.9916,-90,top
C3,0.1uF,C_0402_1005Metric,179.2478,-75.9916,-90,top
C4,0.1uF,C_0402_1005Metric,181.6354,-78.049,-90,top
C5,0.1uF,C_0402_1005Metric,180.4416,-78.0744,-90,top
C6,0.1uF,C_0402_1005Metric,179.2478,-78.0796,-90,top
C7,0.1uF,C_0402_1005Metric,181.6608,-80.0836,-90,top
C8,0.1uF,C_0402_1005Metric,180.4416,-80.081,-90,top
C9,0.1uF,C_0402_1005Metric,179.2224,-80.1116,-90,top
C10,1uF,C_0402_1005Metric,178.1556,-84.3814,-90,top
C11,0.1uF,C_0402_1005Metric,171.5262,-84.5032,-90,top
C12,0.1uF,C_0402_1005Metric,172.7454,-84.4804,-90,top
C13,10uF,C_0402_1005Metric,171.5262,-77.089,90,top
C14,10uF,C_0402_1005Metric,176.2252,-76.4286,90,top
C15,15pF,C_0402_1005Metric,173.1518,-104.4702,90,top
C16,15pF,C_0402_1005Metric,178.435,-104.4702,-90,top
C17,0.1uF,C_0402_1005Metric,173.2534,-86.36,180,top
D2,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,173.4566,-109.22,180,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,176.5046,-66.2178,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,167.6654,-65.2018,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,185.4454,-65.2018,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,174.0154,-113.2218,90,top
R1,5.1k,R_0402_1005Metric,174.9552,-79.9612,-90,top
R2,5.1k,R_0402_1005Metric,173.1772,-79.9338,90,top
R3,1K,R_0402_1005Metric,175.5902,-102.2604,0,top
R4,10k,R_0402_1005Metric,175.3636,-86.36,180,top
R5,1k,R_0402_1005Metric,171.0462,-88.4869,-90,top
R6,27,R_0402_1005Metric,178.2064,-90.8812,-90,top
R7,27,R_0402_1005Metric,177.1904,-90.8794,-90,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,179.7304,-109.0676,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,176.5428,-96.2786,0,top
U2,MCP1700x-330xxTT,SOT-23,174.0154,-76.4286,90,top
U3,W25Q16JVUXIQ,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,174.3456,-88.4241,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,175.7758,-104.5328,180,top